frame,450,80,500,500
font,ìçâ‘ä€ÉSÉVÉbÉNL
pen,15
17,199,35.6689987182617,black,20:14:32
17,199,35.6860008239746,black,20:14:32
17,199,35.7029991149902,black,20:14:32
17,199,35.7189979553223,black,20:14:32
17,199,35.7360000610352,black,20:14:32
17,199,35.7519989013672,black,20:14:32
17,199,35.7690010070801,black,20:14:32
17,199,35.7859992980957,black,20:14:32
17,199,35.8019981384277,black,20:14:32
17,199,35.8190002441406,black,20:14:32
17,199,35.8359985351563,black,20:14:32
17,199,35.8520011901855,black,20:14:32
17,199,35.8689994812012,black,20:14:32
17,199,35.8859977722168,black,20:14:32
17,199,35.9029998779297,black,20:14:32
17,199,35.9189987182617,black,20:14:32
17,199,35.9360008239746,black,20:14:32
22,198,35.9529991149902,black,20:14:32
27,197,35.9700012207031,black,20:14:32
35,194,35.9869995117188,black,20:14:32
40,193,36.0029983520508,black,20:14:32
48,190,36.0200004577637,black,20:14:32
54,189,36.0359992980957,black,20:14:32
61,187,36.0540008544922,black,20:14:32
65,186,36.0699996948242,black,20:14:32
69,185,36.0869979858398,black,20:14:32
73,184,36.1040000915527,black,20:14:32
76,183,36.1199989318848,black,20:14:32
79,183,36.1359977722168,black,20:14:32
79,183,36.1529998779297,black,20:14:32
80,183,36.1689987182617,black,20:14:32
81,183,36.1870002746582,black,20:14:32
83,183,36.2039985656738,black,20:14:32
83,181,36.2200012207031,black,20:14:32
85,181,36.2360000610352,black,20:14:32
89,180,36.2529983520508,black,20:14:33
94,179,36.2700004577637,black,20:14:33
101,178,36.2859992980957,black,20:14:33
105,177,36.3030014038086,black,20:14:33
112,176,36.3199996948242,black,20:14:33
117,175,36.3369979858398,black,20:14:33
125,173,36.3540000915527,black,20:14:33
130,173,36.3699989318848,black,20:14:33
137,171,36.3870010375977,black,20:14:33
140,170,36.4029998779297,black,20:14:33
144,169,36.4199981689453,black,20:14:33
151,168,36.4370002746582,black,20:14:33
155,167,36.4529991149902,black,20:14:33
160,165,36.4700012207031,black,20:14:33
164,165,36.4860000610352,black,20:14:33
171,163,36.5039978027344,black,20:14:33
174,161,36.5200004577637,black,20:14:33
181,159,36.5369987487793,black,20:14:33
185,159,36.5530014038086,black,20:14:33
189,157,36.5699996948242,black,20:14:33
195,155,36.5869979858398,black,20:14:33
199,155,36.6040000915527,black,20:14:33
207,153,36.6199989318848,black,20:14:33
212,151,36.6359977722168,black,20:14:33
219,151,36.6529998779297,black,20:14:33
223,149,36.6689987182617,black,20:14:33
231,149,36.6870002746582,black,20:14:33
236,147,36.7029991149902,black,20:14:33
241,147,36.7200012207031,black,20:14:33
247,145,36.7360000610352,black,20:14:33
253,145,36.7529983520508,black,20:14:33
260,143,36.7700004577637,black,20:14:33
265,143,36.7869987487793,black,20:14:33
271,143,36.8030014038086,black,20:14:33
275,141,36.8199996948242,black,20:14:33
281,141,36.8359985351563,black,20:14:33
285,141,36.8530006408691,black,20:14:33
288,141,36.8699989318848,black,20:14:33
295,141,36.8870010375977,black,20:14:33
298,141,36.9039993286133,black,20:14:33
304,139,36.9199981689453,black,20:14:33
