frame,450,80,500,500
font,ìçâ‘ä€ÉSÉVÉbÉNL
pen,15
28,217,3.87000012397766,black,20:32:51
28,217,3.88700008392334,black,20:32:51
28,217,3.90400004386902,black,20:32:51
28,217,3.9210000038147,black,20:32:51
28,217,3.93700003623962,black,20:32:51
28,217,3.95300006866455,black,20:32:51
28,217,3.97100019454956,black,20:32:51
28,217,3.98699998855591,black,20:32:51
28,217,4.00400018692017,black,20:32:51
28,217,4.01999998092651,black,20:32:51
58,202,4.03700017929077,black,20:32:51
119,172,4.05399990081787,black,20:32:51
159,157,4.07100009918213,black,20:32:51
175,153,4.08699989318848,black,20:32:51
202,145,4.10400009155273,black,20:32:51
231,138,4.12100028991699,black,20:32:51
269,130,4.13899993896484,black,20:32:51
291,126,4.15500020980835,black,20:32:51
317,122,4.1710000038147,black,20:32:51
331,118,4.18800020217896,black,20:32:51
343,118,4.2039999961853,black,20:32:51
361,115,4.22100019454956,black,20:32:51
378,114,4.23699998855591,black,20:32:51
403,111,4.25400018692017,black,20:32:51
415,110,4.27099990844727,black,20:32:51
427,109,4.28700017929077,black,20:32:51
435,109,4.30399990081787,black,20:32:51
444,109,4.32100009918213,black,20:32:51
449,109,4.33800029754639,black,20:32:51
455,109,4.35400009155273,black,20:32:51
461,109,4.37100028991699,black,20:32:51
465,109,4.38700008392334,black,20:32:51
471,110,4.4040002822876,black,20:32:51
474,111,4.4210000038147,black,20:32:51
479,112,4.4370002746582,black,20:32:51
483,113,4.4539999961853,black,20:32:51
486,114,4.47100019454956,black,20:32:51
491,115,4.48699998855591,black,20:32:51
495,116,4.50500011444092,black,20:32:51
499,118,4.52099990844727,black,20:32:51
496,239,4.73699998855591,black,20:32:52
492,245,4.75400018692017,black,20:32:52
483,256,4.77099990844727,black,20:32:52
477,262,4.78800010681152,black,20:32:52
470,270,4.80399990081787,black,20:32:52
464,273,4.82100009918213,black,20:32:52
461,276,4.83800029754639,black,20:32:52
456,278,4.85400009155273,black,20:32:52
454,278,4.87100028991699,black,20:32:52
450,280,4.88800001144409,black,20:32:52
448,280,4.9040002822876,black,20:32:52
447,280,4.9210000038147,black,20:32:52
445,280,4.9370002746582,black,20:32:52
443,280,4.9539999961853,black,20:32:52
441,280,4.97100019454956,black,20:32:52
438,282,4.98799991607666,black,20:32:52
430,283,5.00400018692017,black,20:32:52
425,284,5.02099990844727,black,20:32:52
417,286,5.03700017929077,black,20:32:52
404,289,5.05399990081787,black,20:32:52
383,294,5.07100009918213,black,20:32:52
369,296,5.08699989318848,black,20:32:52
347,302,5.10400009155273,black,20:32:52
336,304,5.12100028991699,black,20:32:52
330,305,5.13700008392334,black,20:32:52
325,305,5.1540002822876,black,20:32:52
323,304,5.1710000038147,black,20:32:52
323,302,5.18800020217896,black,20:32:52
252,32,7.97100019454956,black,20:32:55
252,32,7.98699998855591,black,20:32:55
252,32,8.00399971008301,black,20:32:55
252,32,8.02099990844727,black,20:32:55
252,32,8.03699970245361,black,20:32:55
252,32,8.05399990081787,black,20:32:55
252,32,8.06999969482422,black,20:32:55
252,33,8.08699989318848,black,20:32:55
