frame,450,80,500,500
font,ìçâ‘ä€ÉSÉVÉbÉNL
pen,15
39,216,3.91300010681152,black,15:37:51
39,216,3.92999982833862,black,15:37:51
39,216,3.94700002670288,black,15:37:51
39,216,3.96399974822998,black,15:37:51
39,216,3.98000001907349,black,15:37:51
39,216,3.99699974060059,black,15:37:51
39,216,4.01399993896484,black,15:37:51
39,216,4.02999973297119,black,15:37:51
39,216,4.04699993133545,black,15:37:51
39,216,4.06400012969971,black,15:37:51
39,216,4.07999992370605,black,15:37:51
39,216,4.09700012207031,black,15:37:51
39,216,4.11399984359741,black,15:37:51
46,214,4.13100004196167,black,15:37:51
67,210,4.14799976348877,black,15:37:51
79,207,4.16499996185303,black,15:37:51
95,203,4.18099975585938,black,15:37:51
103,201,4.19700002670288,black,15:37:51
112,200,4.21399974822998,black,15:37:51
123,197,4.23099994659424,black,15:37:51
127,195,4.2480001449585,black,15:37:51
133,194,4.2649998664856,black,15:37:51
138,193,4.2810001373291,black,15:37:51
143,192,4.2979998588562,black,15:37:51
147,191,4.31400012969971,black,15:37:52
153,190,4.33099985122681,black,15:37:52
156,188,4.34800004959106,black,15:37:52
160,186,4.36399984359741,black,15:37:52
165,185,4.38000011444092,black,15:37:52
168,185,4.39899969100952,black,15:37:52
173,182,4.41400003433228,black,15:37:52
176,182,4.43099975585938,black,15:37:52
181,179,4.44799995422363,black,15:37:52
183,178,4.46399974822998,black,15:37:52
188,178,4.48199987411499,black,15:37:52
191,175,4.4980001449585,black,15:37:52
196,174,4.5149998664856,black,15:37:52
199,174,4.5310001373291,black,15:37:52
202,173,4.5479998588562,black,15:37:52
207,172,4.56500005722046,black,15:37:52
211,172,4.58199977874756,black,15:37:52
218,172,4.59800004959106,black,15:37:52
224,172,4.61499977111816,black,15:37:52
231,172,4.63199996948242,black,15:37:52
235,172,4.64799976348877,black,15:37:52
239,171,4.66400003433228,black,15:37:52
246,170,4.68099975585938,black,15:37:52
249,169,4.69799995422363,black,15:37:52
255,168,4.71500015258789,black,15:37:52
259,167,4.73099994659424,black,15:37:52
264,166,4.7480001449585,black,15:37:52
267,166,4.7649998664856,black,15:37:52
271,164,4.78200006484985,black,15:37:52
273,163,4.79699993133545,black,15:37:52
277,162,4.81599998474121,black,15:37:52
280,162,4.83099985122681,black,15:37:52
282,161,4.84800004959106,black,15:37:52
287,159,4.86399984359741,black,15:37:52
289,159,4.88100004196167,black,15:37:52
292,158,4.89799976348877,black,15:37:52
295,158,4.91400003433228,black,15:37:52
299,155,4.93099975585938,black,15:37:52
302,154,4.94700002670288,black,15:37:52
305,153,4.96500015258789,black,15:37:52
307,151,4.98099994659424,black,15:37:52
310,150,4.99699974060059,black,15:37:52
319,147,5.01399993896484,black,15:37:52
326,146,5.02999973297119,black,15:37:52
339,144,5.0479998588562,black,15:37:52
347,143,5.06400012969971,black,15:37:52
358,142,5.08199977874756,black,15:37:52
365,141,5.09700012207031,black,15:37:52
375,139,5.11399984359741,black,15:37:52
381,139,5.13000011444092,black,15:37:52
387,138,5.14799976348877,black,15:37:52
396,136,5.16400003433228,black,15:37:52
401,136,5.18099975585938,black,15:37:52
409,134,5.19700002670288,black,15:37:52
415,133,5.21399974822998,black,15:37:52
422,132,5.23000001907349,black,15:37:52
427,131,5.24699974060059,black,15:37:52
432,131,5.2649998664856,black,15:37:52
436,131,5.2810001373291,black,15:37:52
439,131,5.29699993133545,black,15:37:52
444,131,5.3129997253418,black,15:37:53
447,131,5.33099985122681,black,15:37:53
453,131,5.34700012207031,black,15:37:53
455,131,5.36399984359741,black,15:37:53
459,131,5.38000011444092,black,15:37:53
462,131,5.39799976348877,black,15:37:53
463,131,5.41499996185303,black,15:37:53
464,131,5.43099975585938,black,15:37:53
464,132,5.44799995422363,black,15:37:53
459,134,5.46399974822998,black,15:37:53
455,136,5.48000001907349,black,15:37:53
451,138,5.49699974060059,black,15:37:53
451,138,5.51300001144409,black,15:37:53
447,140,5.52999973297119,black,15:37:53
447,140,5.54699993133545,black,15:37:53
446,142,5.56400012969971,black,15:37:53
445,142,5.58099985122681,black,15:37:53
